LOAN_ID,LOAN_SK,CUSTOMER_SK,CUSTOMER_ID,RISK_BAND_CODE,DUE_DAY_OF_MONTH,ORIGINATION_AMOUNT,INTEREST_RATE,LOAN_TERM_MONTHS,LOAN_TYPE,BUCKET_INDEX,DELINQUENCY_BUCKET,DPD,OUTSTANDING_BALANCE,RESTRUCTURED_FLAG,CHARGE_OFF_FLAG,SETTLEMENT_FLAG,FRAUD_FLAG,ASSIGNED_COLLECTOR_ID
LN-500022,23,2683,CUST-102541,R1,26,14241.89,0.253,0,Credit Card,0,Current,0,9791.315,FALSE,FALSE,FALSE,FALSE,
LN-500023,24,1889,CUST-101789,R4,8,48021.95,0.0855,52,Auto,0,Current,0,45944.075,FALSE,FALSE,FALSE,FALSE,
LN-500024,25,6696,CUST-106375,R5,21,10683.96,0.1457,46,Personal,0,Current,0,8767.815,FALSE,FALSE,FALSE,FALSE,
LN-500025,26,2954,CUST-102800,R1,22,4349.6,0.2042,16,Personal,0,Current,0,3126.2975,FALSE,FALSE,FALSE,FALSE,
LN-500026,27,6369,CUST-106068,R5,6,24486.22,0.176,0,Credit Card,3,60-89,85,24486.22,FALSE,FALSE,FALSE,FALSE,COL-1109
LN-500027,28,3802,CUST-103608,R2,7,20172.16,0.1019,62,Auto,0,Current,0,17975.98,FALSE,FALSE,FALSE,FALSE,COL-1070
LN-500028,29,5472,CUST-105200,R6,7,4600.62,0.1289,58,Personal,0,Current,0,4481.64,FALSE,FALSE,FALSE,FALSE,
LN-500029,30,3030,CUST-102872,R3,15,2441.05,0.2047,0,Credit Card,0,Current,0,2135.92,FALSE,FALSE,FALSE,FALSE,
LN-500030,31,4340,CUST-104122,R5,24,17623.45,0.1213,17,Personal,0,Current,0,13768.3225,FALSE,FALSE,FALSE,FALSE,
LN-500031,32,5845,CUST-105559,R5,16,17246.44,0.0554,69,Auto,0,Current,0,15559.2775,FALSE,FALSE,FALSE,FALSE,
LN-500032,33,311,CUST-100299,R2,23,12882.89,0.0471,63,Auto,0,Current,0,12269.42,FALSE,FALSE,FALSE,FALSE,
LN-500033,34,1584,CUST-101498,R4,2,9646.49,0.0881,45,Auto,0,Current,0,7877.9375,FALSE,FALSE,FALSE,FALSE,
LN-500035,37,1947,CUST-101844,R5,7,28486.8,0.1726,21,Personal,0,Current,0,15133.6125,FALSE,FALSE,FALSE,FALSE,
LN-500036,38,7591,CUST-107229,R5,22,53934.05,0.0832,40,Auto,0,Current,0,48877.7375,FALSE,FALSE,FALSE,FALSE,
LN-500037,39,6829,CUST-106505,R1,14,3858.04,0.213,0,Credit Card,0,Current,0,2411.29,FALSE,FALSE,FALSE,FALSE,
LN-500038,40,966,CUST-100918,R3,27,3161.44,0.1626,55,Personal,0,Current,0,2557.9,FALSE,FALSE,FALSE,FALSE,
LN-500039,41,355,CUST-100339,R6,12,22308.39,0.125,40,Personal,0,Current,0,20635.26,FALSE,FALSE,FALSE,FALSE,
LN-500040,42,2365,CUST-102235,R6,4,14430.8,0.2358,0,Credit Card,4,90+,117,12626.96,FALSE,FALSE,FALSE,FALSE,COL-1092
LN-500041,43,8190,CUST-107799,R6,19,30427.78,0.2107,20,Personal,0,Current,0,28526.05,FALSE,FALSE,FALSE,FALSE,
LN-500042,44,7814,CUST-107445,R5,14,42146.73,0.1043,51,Auto,0,Current,0,32229.81,FALSE,FALSE,FALSE,FALSE,
LN-500043,45,2715,CUST-102572,R3,3,15382.93,0.0631,66,Auto,0,Current,0,13634.905,FALSE,FALSE,FALSE,FALSE,
LN-500044,46,897,CUST-100853,R2,7,15532.96,0.1931,16,Personal,0,Current,0,8251.8475,FALSE,FALSE,FALSE,FALSE,
LN-500045,47,7678,CUST-107311,R6,16,600337.09,0.0572,239,Mortgage,0,Current,0,592801.48,FALSE,FALSE,FALSE,FALSE,COL-1090
LN-500046,48,1161,CUST-101096,R2,27,24930.49,0.2172,0,Credit Card,0,Current,0,19476.9475,FALSE,FALSE,FALSE,FALSE,
LN-500047,49,113,CUST-100107,R4,24,14932.82,0.2507,0,Credit Card,0,Current,0,9333.02,FALSE,FALSE,FALSE,FALSE,
LN-500048,50,539,CUST-100513,R7,2,2138.51,0.1063,24,Personal,0,Current,0,1603.91,FALSE,FALSE,FALSE,FALSE,
LN-500049,51,1826,CUST-101729,R5,22,8059.07,0.1057,46,Auto,0,Current,0,7664.87,FALSE,FALSE,FALSE,FALSE,
LN-500050,52,2094,CUST-101980,R3,20,13529.37,0.0713,49,Auto,0,Current,0,10216.05,FALSE,FALSE,FALSE,FALSE,
LN-500051,53,967,CUST-100919,R2,1,96548.05,0.0951,155,HELOC,0,Current,0,92343.5425,FALSE,FALSE,FALSE,FALSE,
LN-500052,54,7550,CUST-107189,R4,6,48516.39,0.0849,63,Auto,0,Current,0,45628.515,FALSE,FALSE,FALSE,FALSE,
LN-500053,55,374,CUST-100357,R7,17,5005.19,0.1616,24,Personal,0,Current,0,3597.4775,FALSE,FALSE,FALSE,FALSE,
LN-500054,56,7172,CUST-106827,R4,14,2434.2,0.2089,0,Credit Card,0,Current,0,1825.68,FALSE,FALSE,FALSE,FALSE,
LN-500055,57,236,CUST-100227,R4,22,7961.24,0.1632,25,Personal,0,Current,0,7722.4025,FALSE,FALSE,FALSE,FALSE,
LN-500056,58,2783,CUST-102636,R3,20,24738.25,0.1716,0,Credit Card,0,Current,0,19326.76,FALSE,FALSE,FALSE,FALSE,COL-1115
LN-500057,59,4846,CUST-104604,R2,23,18415.63,0.0697,47,Auto,1,1-29,8,16652.44,FALSE,FALSE,FALSE,FALSE,
LN-500058,60,4451,CUST-104228,R3,20,28722.87,0.1141,27,Personal,0,Current,0,17552.865,FALSE,FALSE,FALSE,FALSE,
LN-500059,61,2425,CUST-102292,R5,3,15121.03,0.1825,0,Credit Card,0,Current,0,14648.5,FALSE,FALSE,FALSE,FALSE,
LN-500060,62,1230,CUST-101162,R5,12,31941.89,0.0921,60,Auto,0,Current,0,30744.08,FALSE,FALSE,FALSE,FALSE,COL-1044
LN-500061,63,3676,CUST-103487,R3,18,52402.63,0.0882,68,Auto,0,Current,0,47200.8775,FALSE,FALSE,FALSE,FALSE,
LN-500062,64,1564,CUST-101479,R3,6,20383.72,0.058,56,Auto,0,Current,0,18745.72,FALSE,FALSE,FALSE,FALSE,
LN-500063,65,4258,CUST-104045,R3,5,13388.45,0.0958,71,Auto,1,1-29,26,11408.465,FALSE,FALSE,FALSE,FALSE,COL-1056
LN-500064,66,7374,CUST-107021,R3,21,3412.49,0.1842,44,Personal,1,1-29,10,3237.98,FALSE,FALSE,FALSE,FALSE,
LN-500065,67,2786,CUST-102639,R6,4,5493.58,0.1857,0,Credit Card,0,Current,0,4806.88,FALSE,FALSE,FALSE,FALSE,
LN-500066,68,1448,CUST-101369,R5,2,20582.38,0.0484,60,Auto,0,Current,0,17495.02,FALSE,FALSE,FALSE,FALSE,
LN-500067,69,5337,CUST-105071,R4,16,22026.23,0.2362,0,Credit Card,0,Current,0,18584.63,FALSE,FALSE,FALSE,FALSE,
LN-500068,70,5613,CUST-105336,R4,3,40297.16,0.0801,60,Auto,0,Current,0,39793.445,FALSE,FALSE,FALSE,FALSE,
LN-500069,71,1578,CUST-101492,R4,28,26201.17,0.0741,67,Auto,0,Current,0,23268.22,FALSE,FALSE,FALSE,FALSE,
LN-500070,72,7791,CUST-107422,R1,19,6731.55,0.2387,0,Credit Card,0,Current,0,4838.31,FALSE,FALSE,FALSE,FALSE,
LN-500071,73,3827,CUST-103632,R4,23,18915.27,0.125,44,Personal,0,Current,0,16658.3475,FALSE,FALSE,FALSE,FALSE,COL-1056
LN-500072,74,5633,CUST-105355,R1,20,11831.33,0.1699,59,Personal,0,Current,0,10176.9575,FALSE,FALSE,FALSE,FALSE,
LN-500073,75,4154,CUST-103945,R3,25,12746.33,0.1465,56,Personal,0,Current,0,12575.6225,FALSE,FALSE,FALSE,FALSE,
LN-500074,76,448,CUST-100430,R5,3,40901.6,0.0547,68,Auto,1,1-29,28,34585.955,FALSE,FALSE,FALSE,FALSE,COL-1073
LN-500075,77,2380,CUST-102249,R5,1,2153.15,0.0813,26,Personal,0,Current,0,1345.7525,FALSE,FALSE,FALSE,FALSE,
LN-500076,78,753,CUST-100715,R6,2,22115.51,0.1754,26,Personal,0,Current,0,11270.36,FALSE,FALSE,FALSE,FALSE,
LN-500077,79,5917,CUST-105629,R2,26,32776.36,0.147,55,Personal,0,Current,0,26072.1475,FALSE,FALSE,FALSE,FALSE,
LN-500078,80,6388,CUST-106085,R2,28,12964.14,0.2207,0,Credit Card,0,Current,0,12153.885,FALSE,FALSE,FALSE,FALSE,
LN-500079,81,4115,CUST-103910,R6,11,60574.96,0.0807,168,HELOC,0,Current,0,56788.975,FALSE,FALSE,FALSE,FALSE,
LN-500080,82,856,CUST-100812,R5,13,3141.68,0.1933,0,Credit Card,0,Current,0,3043.505,FALSE,FALSE,FALSE,FALSE,
LN-500081,83,7665,CUST-107299,R3,28,48399.3,0.1063,39,Auto,0,Current,0,48399.3,FALSE,FALSE,FALSE,FALSE,
LN-500082,84,3041,CUST-102882,R3,15,19052.94,0.0998,51,Auto,0,Current,0,18772.7475,FALSE,FALSE,FALSE,FALSE,
LN-500083,85,1784,CUST-101689,R4,1,48334.38,0.0773,40,Auto,0,Current,0,40177.95,FALSE,FALSE,FALSE,FALSE,COL-1111
LN-500084,86,449,CUST-100431,R1,25,31831.24,0.0462,47,Auto,0,Current,0,29291.515,FALSE,FALSE,FALSE,FALSE,
LN-500086,88,2204,CUST-102086,R5,5,25119.76,0.2132,31,Personal,0,Current,0,22081.0975,FALSE,FALSE,FALSE,FALSE,
LN-500087,89,1280,CUST-101210,R4,19,4995.6,0.0869,57,Personal,0,Current,0,4338.3,FALSE,FALSE,FALSE,FALSE,COL-1079
LN-500088,90,6016,CUST-105727,R3,21,25752.98,0.1287,18,Personal,0,Current,0,22533.86,FALSE,FALSE,FALSE,FALSE,
LN-500089,91,6837,CUST-106512,R2,3,10313.59,0.1547,0,Credit Card,0,Current,0,5479.1275,FALSE,FALSE,FALSE,FALSE,
LN-500090,92,1550,CUST-101465,R5,1,43815.72,0.0892,66,Auto,1,1-29,30,41824.11,FALSE,FALSE,FALSE,FALSE,COL-1073
LN-500091,93,1559,CUST-101474,R4,18,44346.21,0.0909,67,Auto,0,Current,0,40871.34,FALSE,FALSE,FALSE,FALSE,
LN-500092,94,2698,CUST-102555,R4,6,60376.48,0.0625,85,HELOC,0,Current,0,53450.9575,FALSE,FALSE,FALSE,FALSE,
LN-500094,97,5615,CUST-105337,R2,8,21863.23,0.0953,66,Auto,0,Current,0,21614.785,FALSE,FALSE,FALSE,FALSE,
LN-500095,98,3600,CUST-103414,R2,12,33172.76,0.0658,134,HELOC,0,Current,0,32615.75,FALSE,FALSE,FALSE,FALSE,
LN-500096,99,4292,CUST-104077,R2,28,16889.31,0.1267,17,Personal,0,Current,0,16889.31,FALSE,FALSE,FALSE,FALSE,
LN-500097,100,6805,CUST-106482,R1,14,20696.91,0.0803,40,Auto,0,Current,0,19144.65,FALSE,FALSE,FALSE,FALSE,
LN-500098,101,3717,CUST-103528,R3,4,47548.18,0.0818,54,Auto,0,Current,0,38302.72,FALSE,FALSE,FALSE,FALSE,
LN-500099,102,2671,CUST-102530,R5,25,53679.57,0.0916,66,Auto,0,Current,0,51239.58,FALSE,FALSE,FALSE,FALSE,
LN-500100,103,2308,CUST-102182,R3,16,46749.69,0.0921,55,Auto,0,Current,0,41649.75,FALSE,FALSE,FALSE,FALSE,
LN-500101,104,8057,CUST-107675,R3,15,22155.78,0.1246,59,Personal,0,Current,0,20747.58,FALSE,FALSE,FALSE,FALSE,
LN-500102,105,7539,CUST-107178,R1,17,7325.32,0.174,23,Personal,0,Current,0,6638.575,FALSE,FALSE,FALSE,FALSE,
LN-500103,106,3678,CUST-103489,R3,23,20570.4,0.0784,71,Auto,0,Current,0,17093.76,FALSE,FALSE,FALSE,FALSE,
LN-500104,107,1296,CUST-101226,R1,14,8798.73,0.1564,40,Personal,0,Current,0,7478.91,FALSE,FALSE,FALSE,FALSE,
LN-500105,108,153,CUST-100146,R7,10,47587.26,0.0935,57,Auto,0,Current,0,38821.23,FALSE,FALSE,FALSE,FALSE,
LN-500106,109,7789,CUST-107420,R3,12,37988.65,0.1005,62,Auto,0,Current,0,34771.87,FALSE,FALSE,FALSE,FALSE,
LN-500107,110,4545,CUST-104318,R1,3,53002.1,0.1069,41,Auto,1,1-29,28,48154.3625,FALSE,FALSE,FALSE,FALSE,
LN-500108,111,5894,CUST-105606,R1,28,23609.99,0.1065,27,Personal,0,Current,0,22954.16,FALSE,FALSE,FALSE,FALSE,
LN-500109,112,7749,CUST-107381,R1,10,34913.01,0.105,64,Auto,0,Current,0,27957.63,FALSE,FALSE,FALSE,FALSE,
LN-500110,113,7688,CUST-107321,R1,26,51764.43,0.0707,56,Auto,0,Current,0,49684.62,FALSE,FALSE,FALSE,FALSE,
LN-500111,114,3971,CUST-103769,R2,17,16640.05,0.1904,0,Credit Card,0,Current,0,11440,FALSE,FALSE,FALSE,FALSE,
LN-500112,115,2587,CUST-102449,R3,24,14104.96,0.0996,36,Auto,0,Current,0,13517.26,FALSE,FALSE,FALSE,FALSE,
LN-500113,116,1137,CUST-101074,R5,27,328948.25,0.0611,324,Mortgage,0,Current,0,316765.01,FALSE,FALSE,FALSE,FALSE,
LN-500114,117,5086,CUST-104832,R3,3,8419.55,0.2532,0,Credit Card,0,Current,0,6314.69,FALSE,FALSE,FALSE,FALSE,
LN-500115,118,4002,CUST-103800,R1,10,47594.25,0.0711,63,Auto,0,Current,0,40795.11,FALSE,FALSE,FALSE,FALSE,
LN-500116,119,5646,CUST-105367,R4,24,43321.52,0.0568,59,Auto,0,Current,0,37814.57,FALSE,FALSE,FALSE,FALSE,
LN-500117,120,6549,CUST-106238,R3,11,12220.47,0.0706,51,Auto,0,Current,0,9524.745,FALSE,FALSE,FALSE,FALSE,
LN-500118,121,7645,CUST-107281,R3,14,13288.53,0.2103,21,Personal,0,Current,0,13288.53,FALSE,FALSE,FALSE,FALSE,
LN-500119,122,3425,CUST-103247,R3,27,34573.92,0.1214,22,Personal,0,Current,0,24850.005,FALSE,FALSE,FALSE,FALSE,
LN-500120,123,8251,CUST-107859,R6,2,17916.45,0.2059,0,Credit Card,0,Current,0,16796.67,FALSE,FALSE,FALSE,FALSE,
LN-500121,124,5582,CUST-105306,R6,5,19961.41,0.1895,0,Credit Card,0,Current,0,18713.815,FALSE,FALSE,FALSE,FALSE,
LN-500122,125,104,CUST-100099,R5,6,5514.38,0.1975,51,Personal,0,Current,0,4622.3075,FALSE,FALSE,FALSE,FALSE,
LN-500123,126,5849,CUST-105563,R4,16,21311.04,0.1852,25,Personal,0,Current,0,13639.08,FALSE,FALSE,FALSE,FALSE,
LN-500124,127,6809,CUST-106486,R7,5,3654.66,0.1792,0,Credit Card,0,Current,0,2740.98,FALSE,FALSE,FALSE,FALSE,COL-1079
LN-500125,128,3389,CUST-103212,R3,13,15854.41,0.2076,44,Personal,0,Current,0,12070.945,FALSE,FALSE,FALSE,FALSE,
LN-500126,129,5808,CUST-105524,R7,19,11127.39,0.2034,0,Credit Card,0,Current,0,10779.66,FALSE,FALSE,FALSE,FALSE,
LN-500127,130,7692,CUST-107325,R4,17,31772.82,0.0938,58,Auto,0,Current,0,31361.9625,FALSE,FALSE,FALSE,FALSE,
LN-500128,131,4951,CUST-104704,R1,21,51011.61,0.0921,65,Auto,0,Current,0,42182.7225,FALSE,FALSE,FALSE,FALSE,
LN-500129,132,7981,CUST-107601,R3,1,18338.05,0.1405,58,Personal,0,Current,0,18338.05,FALSE,FALSE,FALSE,FALSE,
LN-500130,133,5587,CUST-105311,R1,9,22537.46,0.0922,56,Auto,0,Current,0,21330.11,FALSE,FALSE,FALSE,FALSE,
LN-500131,134,4934,CUST-104688,R4,21,31958.54,0.1227,49,Personal,0,Current,0,27066.89,FALSE,FALSE,FALSE,FALSE,
LN-500132,135,7149,CUST-106805,R1,4,20389.36,0.2362,0,Credit Card,0,Current,0,20389.36,FALSE,FALSE,FALSE,FALSE,
LN-500133,136,5234,CUST-104975,R4,4,214721.67,0.0566,249,Mortgage,0,Current,0,205020.345,FALSE,FALSE,FALSE,FALSE,
LN-500134,137,7715,CUST-107347,R1,12,3266.7,0.1572,0,Credit Card,0,Current,0,2756.2875,FALSE,FALSE,FALSE,FALSE,
LN-500135,138,1316,CUST-101244,R3,12,88490.01,0.0907,72,HELOC,0,Current,0,74663.4225,FALSE,FALSE,FALSE,FALSE,
LN-500136,139,1329,CUST-101257,R1,21,46491.28,0.0686,70,Auto,0,Current,0,45495.04,FALSE,FALSE,FALSE,FALSE,
LN-500137,140,214,CUST-100206,R4,17,3721.19,0.0939,49,Personal,0,Current,0,3265.55,FALSE,FALSE,FALSE,FALSE,COL-1100
LN-500138,141,6731,CUST-106409,R1,4,14910.41,0.0677,64,Auto,0,Current,0,13337.795,FALSE,FALSE,FALSE,FALSE,
LN-500139,142,7915,CUST-107541,R1,7,22800.75,0.0835,44,Auto,0,Current,0,16193.7,FALSE,FALSE,FALSE,FALSE,
LN-500140,143,7921,CUST-107546,R5,11,72553.44,0.0982,98,HELOC,0,Current,0,65335.125,FALSE,FALSE,FALSE,FALSE,
LN-500141,144,2945,CUST-102791,R1,5,10506.26,0.1832,0,Credit Card,2,30-59,56,6566.42,FALSE,FALSE,FALSE,FALSE,COL-1015
LN-500142,145,6863,CUST-106534,R4,11,13054.75,0.235,0,Credit Card,0,Current,0,9791.05,FALSE,FALSE,FALSE,FALSE,
LN-500143,146,2293,CUST-102168,R3,4,10671.57,0.0584,68,Auto,0,Current,0,10671.57,FALSE,FALSE,FALSE,FALSE,
LN-500144,147,1487,CUST-101406,R2,17,18836.34,0.2065,53,Personal,0,Current,0,14304.99,FALSE,FALSE,FALSE,FALSE,
LN-500145,148,5461,CUST-105191,R5,26,27725.66,0.0875,45,Auto,0,Current,0,22180.49,FALSE,FALSE,FALSE,FALSE,COL-1011
LN-500146,149,7952,CUST-107574,R2,25,19225.04,0.1934,0,Credit Card,0,Current,0,9612.56,FALSE,FALSE,FALSE,FALSE,
LN-500147,150,4768,CUST-104528,R5,25,49712.94,0.06,69,Auto,1,1-29,6,44309.34,FALSE,FALSE,FALSE,FALSE,COL-1114
LN-500148,151,736,CUST-100699,R3,24,8866.88,0.1338,40,Personal,0,Current,0,7536.86,FALSE,FALSE,FALSE,FALSE,
LN-500149,152,591,CUST-100560,R5,8,23931.82,0.1793,0,Credit Card,0,Current,0,21688.21,FALSE,FALSE,FALSE,FALSE,
LN-500150,153,4782,CUST-104542,R6,8,4315.8,0.1641,0,Credit Card,0,Current,0,2697.33,FALSE,FALSE,FALSE,FALSE,COL-1011
LN-500151,154,7039,CUST-106701,R1,10,47473.33,0.0871,71,Auto,0,Current,0,39951.13,FALSE,FALSE,FALSE,FALSE,
LN-500152,155,5787,CUST-105503,R7,26,32298.93,0.0515,38,Auto,0,Current,0,25924.155,FALSE,FALSE,FALSE,FALSE,
LN-500153,156,3008,CUST-102850,R3,19,23938.17,0.1746,0,Credit Card,0,Current,0,21693.975,FALSE,FALSE,FALSE,FALSE,
LN-500154,157,5589,CUST-105313,R4,13,10984.02,0.1005,59,Auto,0,Current,0,9727.3725,FALSE,FALSE,FALSE,FALSE,
LN-500155,158,5749,CUST-105467,R4,22,48723.09,0.1041,65,Auto,0,Current,0,47036.5125,FALSE,FALSE,FALSE,FALSE,
LN-500156,159,6929,CUST-106597,R5,20,50507.03,0.1041,56,Auto,4,90+,131,45772.0025,FALSE,FALSE,FALSE,FALSE,COL-1106
LN-500157,160,3941,CUST-103741,R6,27,25076.64,0.0505,36,Auto,0,Current,0,18807.51,FALSE,FALSE,FALSE,FALSE,
LN-500158,161,2775,CUST-102628,R2,2,12882.81,0.1848,0,Credit Card,0,Current,0,12077.64,FALSE,FALSE,FALSE,FALSE,
LN-500159,162,1009,CUST-100960,R4,8,33320.7,0.1261,39,Personal,0,Current,0,32679.915,FALSE,FALSE,FALSE,FALSE,
LN-500160,163,7451,CUST-107095,R4,4,61006.11,0.0851,111,HELOC,0,Current,0,58945.11,FALSE,FALSE,FALSE,FALSE,
LN-500161,164,6107,CUST-105816,R5,13,282040.86,0.0705,225,Mortgage,0,Current,0,267938.8725,FALSE,FALSE,FALSE,FALSE,
LN-500162,165,3423,CUST-103245,R2,4,14125.23,0.0893,38,Auto,0,Current,0,9943.38,FALSE,FALSE,FALSE,FALSE,
LN-500163,166,5069,CUST-104815,R2,18,6311.02,0.205,0,Credit Card,0,Current,0,5522.14,FALSE,FALSE,FALSE,FALSE,
LN-500164,167,199,CUST-100191,R3,20,2238.63,0.1865,0,Credit Card,0,Current,0,1189.23,FALSE,FALSE,FALSE,FALSE,COL-1070
LN-500165,168,7298,CUST-106950,R4,3,24505.31,0.1659,0,Credit Card,0,Current,0,11486.9225,FALSE,FALSE,FALSE,FALSE,
LN-500166,169,1434,CUST-101355,R5,21,53268.41,0.0774,69,Auto,1,1-29,10,53268.41,FALSE,FALSE,FALSE,FALSE,COL-1100
LN-500167,170,7007,CUST-106671,R5,2,13569.62,0.2076,30,Personal,0,Current,0,11873.42,FALSE,FALSE,FALSE,FALSE,
LN-500168,171,8333,CUST-107937,R6,8,46285.2,0.0994,39,Auto,0,Current,0,42724.8,FALSE,FALSE,FALSE,FALSE,
LN-500169,172,4860,CUST-104618,R5,13,18567.9,0.1622,24,Personal,0,Current,0,13925.94,FALSE,FALSE,FALSE,FALSE,
LN-500170,173,3597,CUST-103411,R4,12,39420.12,0.0936,72,Auto,0,Current,0,39009.495,FALSE,FALSE,FALSE,FALSE,
LN-500171,174,6125,CUST-105832,R4,23,7335.99,0.1659,0,Credit Card,0,Current,0,5272.7175,FALSE,FALSE,FALSE,FALSE,
LN-500172,175,7831,CUST-107462,R3,2,14889.34,0.2127,0,Credit Card,0,Current,0,7444.66,FALSE,FALSE,FALSE,FALSE,
LN-500173,176,1182,CUST-101117,R2,7,18339.07,0.0845,65,Auto,0,Current,0,17915.86,FALSE,FALSE,FALSE,FALSE,
LN-500174,177,158,CUST-100151,R5,26,47884.61,0.066,65,Auto,0,Current,0,39596.8475,FALSE,FALSE,FALSE,FALSE,COL-1100
LN-500175,178,1825,CUST-101728,R5,8,12458.05,0.192,0,Credit Card,2,30-59,53,11679.415,FALSE,FALSE,FALSE,FALSE,COL-1072
LN-500176,179,791,CUST-100750,R4,13,28383.71,0.0853,39,Auto,0,Current,0,20196.0725,FALSE,FALSE,FALSE,FALSE,
LN-500177,180,2146,CUST-102030,R4,6,22291.51,0.0879,52,Auto,0,Current,0,21648.49,FALSE,FALSE,FALSE,FALSE,
LN-500178,181,1445,CUST-101366,R4,7,145378.41,0.0907,176,HELOC,0,Current,0,141041.8575,FALSE,FALSE,FALSE,FALSE,
LN-500179,182,6306,CUST-106006,R4,2,23993.04,0.0451,42,Auto,0,Current,0,21850.815,FALSE,FALSE,FALSE,FALSE,
LN-500180,183,8078,CUST-107695,R4,3,10751.18,0.2048,42,Personal,0,Current,0,8447.36,FALSE,FALSE,FALSE,FALSE,
LN-500181,184,7998,CUST-107618,R6,8,13647.46,0.1272,40,Personal,0,Current,0,11600.32,FALSE,FALSE,FALSE,FALSE,
LN-500182,185,1990,CUST-101885,R5,4,235985.63,0.0651,282,Mortgage,0,Current,0,230964.65,FALSE,FALSE,FALSE,FALSE,COL-1072
LN-500183,186,1076,CUST-101021,R4,20,27650.55,0.1457,47,Personal,0,Current,0,27209.3175,FALSE,FALSE,FALSE,FALSE,
LN-500184,187,5798,CUST-105514,R1,20,184312.4,0.0562,294,Mortgage,0,Current,0,177729.845,FALSE,FALSE,FALSE,FALSE,
LN-500185,188,6942,CUST-106609,R2,22,9474.85,0.0655,70,Auto,0,Current,0,8155.09,FALSE,FALSE,FALSE,FALSE,
LN-500186,189,4644,CUST-104409,R3,24,33435.86,0.2083,24,Personal,0,Current,0,29256.38,FALSE,FALSE,FALSE,FALSE,
